Słupek #,X (px),Czas (OCR),Słupek (Miliardy B),Linia (USD)
1,126,27,$4.83B,$77.01
2,175,b/d,$4.64B,$75.03
3,225,28,$4.67B,$74.57
4,275,b/d,$4.62B,$75.30
5,325,29,$4.78B,$76.19
6,375,b/d,$4.63B,$75.39
7,425,303,$4.87B,$76.62
8,475,b/d,$4.85B,$76.60
9,524,31,$4.70B,$75.12
10,574,b/d,$4.56B,$73.70
11,624,1,$4.58B,$73.99
12,674,b/d,$4.54B,$73.59
13,724,2,$4.61B,$73.93
14,774,b/d,$4.68B,$74.76
15,824,63,$4.52B,$73.20
16,873,b/d,$4.71B,$74.67
17,923,4,$4.75B,$75.30
18,973,b/d,$4.78B,$75.56
19,1023,b/d,$4.79B,$75.52
20,1073,b/d,$4.89B,$76.42
21,1123,6,$4.89B,$76.35
22,1173,b/d,$4.84B,$75.91
23,1222,7,$4.97B,$76.98
24,1272,8,$4.95B,$76.81
25,1322,"2026,1",$4.89B,$76.89
26,1372,14:00,$4.79B,$76.87
27,1422,9,$4.73B,$76.87
28,1472,b/d,$4.82B,$76.78
29,1522,10,$4.87B,$77.13
30,1572,b/d,$4.50B,$75.35
31,1621,1,$4.54B,$75.37
